時間,動作,變動欄位,發布日期,機關,標題,sid,網址
2026-09-15 03:24,異動,檢視時間,2026-01-02,臺北大眾捷運股份有限公司,有優惠身分的旅客，可以使用信用卡或乘車碼搭車嗎?,149CEA20A9D988AB,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=149CEA20A9D988AB
2026-09-15 03:24,異動,檢視時間,2008-08-11,臺北大眾捷運股份有限公司,北北基好玩卡「交通暢遊版」的種類為何?,152FF5863F550591,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=152FF5863F550591
2026-09-15 03:24,異動,檢視時間,2012-12-27,臺北市政府勞動局勞資關係科,為什麼要設立勞工退休準備金？其法源依據為何？,15A454B10B71BAE8,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=15A454B10B71BAE8
2026-09-15 03:24,異動,檢視時間,2012-12-28,臺北市政府勞動局就業安全科,我去應徵工作，老闆要我繳交身分證正本，可以嗎？,15C38936D5680ED3,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=15C38936D5680ED3
2026-09-15 03:24,異動,檢視時間,2018-08-07,臺北市政府勞動局勞動基準科,颱風天經主管機關宣布停止上班時，事業單位應如何辦理勞工出勤管理及工資給付事宜？,15EEEC173190920E,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=15EEEC173190920E
2026-09-15 03:24,異動,檢視時間,2020-09-01,臺北大眾捷運股份有限公司,用鳥籠裝寵物鳥，需注意哪些事項？,163ED46F0B293B72,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=163ED46F0B293B72
2026-09-15 03:24,異動,檢視時間,2024-03-01,臺北市政府勞動局就業安全科,雇主受理職場性騷擾申訴案時，要怎麼找專業人才協助、調查呢？,1703FA7D7F4086DE,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=1703FA7D7F4086DE
2026-09-15 03:24,異動,檢視時間,2024-09-20,臺北大眾捷運股份有限公司,參與活動取得的捷運點多久會匯入會員帳戶？,176AC89B41599EF0,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=176AC89B41599EF0
2026-09-15 03:24,異動,檢視時間,2023-01-01,臺北市政府衛生局健康管理科,網路預約老人健康檢查準備什麼證件？,178295CA976B752D,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=178295CA976B752D
2026-09-15 03:24,異動,檢視時間,2016-12-16,臺北市政府勞動局勞動基準科,例假與休息日之差別為何？,178F443EFBE2D863,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=178F443EFBE2D863
2026-09-15 03:24,異動,檢視時間,2016-07-14,臺北市政府勞動局勞動基準科,雇主可以讓我連續上7天以上的班嗎？,17D9B071AF15375F,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=17D9B071AF15375F
2026-09-15 03:24,異動,檢視時間,2023-01-01,臺北市政府衛生局健康管理科,免費老人健檢通知單還沒收到，可以預約嗎？,185C1FA80315C3F7,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=185C1FA80315C3F7
2026-09-15 03:24,異動,檢視時間,2018-08-07,臺北市政府勞動局勞動基準科,事業單位因應天然災害發生(例如：颱風)，所生勞工出勤管理及工資給付問題是否有相關規範可以參照依循？,18FB49132744FCAA,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=18FB49132744FCAA
2026-09-15 03:24,異動,檢視時間,2014-09-25,臺北市政府勞動局職業安全衛生科,職業安全衛生法第6條第2項第3款之「執行職務因他人行為遭受身體或精神不法侵害之預防」規定為何？,19ACF3871DB5BBE7,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=19ACF3871DB5BBE7
2026-09-15 03:24,異動,檢視時間,2018-02-13,臺北市政府勞動局勞動基準科,18.法律服務業僱用之法務人員符合勞動基準法施行細則第五十條之一第二款規定者。19.電視業之發射站、中繼站及轉播站等外站台之工作人員。以上適用勞動基準法第84條之1工作者，其工時限制為何?,1A1E2DFA3FDCC987,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=1A1E2DFA3FDCC987
2026-09-15 03:24,異動,檢視時間,2013-08-16,臺北市政府勞動局勞動基準科,勞工感染狂犬病應如何申請勞工保險相關給付？,1AE0674EE93DE5A8,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=1AE0674EE93DE5A8
2026-09-15 03:24,異動,檢視時間,2020-03-23,臺北市政府社會局人民團體科,合作社申請應向何單位申請？,1AF935B8B489DE41,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=1AF935B8B489DE41
2026-09-15 03:24,異動,檢視時間,2012-12-27,臺北市政府勞動局勞資關係科,事業單位勞工退休準備金資料變更時，是否需報請主管機關核備？,1B11D02F67147E03,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=1B11D02F67147E03
2026-09-15 03:24,異動,檢視時間,2013-04-17,臺北市政府勞動局勞動基準科,時薪制勞工產假工資應如何計算？,1B1FC0E8F8314A81,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=1B1FC0E8F8314A81
2026-09-15 03:24,異動,檢視時間,2016-01-28,臺北市政府勞動局勞資關係科,勞動基準法第56條第2項修法的目的是什麼？,1BEC00042ED44C82,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=1BEC00042ED44C82
2026-09-15 03:24,異動,檢視時間,2012-12-28,臺北市政府勞動局勞動基準科,勞工請假規則規定是否包含本人或配偶的外祖父母？,1BF01728F8BDC217,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=1BF01728F8BDC217
2026-09-15 03:24,異動,檢視時間,2014-12-26,臺北市政府勞動局勞動基準科,廣告業、美容業等共13類工作者，自104年1月1日起廢止適用勞動基準法第84條之1之規定。,1C3D11A41D5F5952,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=1C3D11A41D5F5952
2026-09-15 03:24,異動,檢視時間,2018-02-13,臺北市政府勞動局勞動基準科,11.依教育法規辦理考試之闈內人員。以上適用勞動基準法第84條之1工作者，其工時限制為何?,1C838103B8642866,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=1C838103B8642866
2026-09-15 03:24,異動,檢視時間,2008-09-03,臺北大眾捷運股份有限公司,何謂捷運與公車（不含里程收費公車）間雙向轉乘優惠？儲值卡各票種雙向轉乘優惠如何扣款？,1CDFC00134A98701,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=1CDFC00134A98701
2026-09-15 03:24,異動,檢視時間,2008-06-01,臺北大眾捷運股份有限公司,為何不發售月臺票？,1D1B80B24CBC05BC,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=1D1B80B24CBC05BC
2026-09-15 03:24,異動,檢視時間,2013-05-16,臺北市政府勞動局就業安全科,照護補助所指的照護人資格為何？,1D363BD39780E0C3,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=1D363BD39780E0C3
2026-09-15 03:24,異動,檢視時間,2012-12-28,臺北市政府勞動局勞動基準科,勞工於休假日工作後依法取得加倍工資債權，得否經由勞資協商改以補休替代？,1D752365B19A873E,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=1D752365B19A873E
2026-09-15 03:24,異動,檢視時間,2012-12-28,臺北市政府勞動局就業安全科,什麼是「宗教歧視」？,1DA63BFBFCC17EC0,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=1DA63BFBFCC17EC0
2026-09-15 03:24,異動,檢視時間,2026-05-15,臺北大眾捷運股份有限公司,使用 QR 乘車碼搭乘捷運，是否適用交通部 TPASS 2.0 或 TPASS 2.0＋公共運輸常客優惠回饋？,1DE2403D72B21134,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=1DE2403D72B21134
2026-09-15 03:24,異動,檢視時間,2017-01-24,臺北市政府勞動局勞資關係科,尾牙聚餐費用可動支職工福利金嗎？,1E27386CB9DCC072,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=1E27386CB9DCC072
2026-09-15 03:24,異動,檢視時間,2024-08-05,臺北市政府勞動局勞動基準科,約定每日工作8小時，所以居家工作期間，勞工連續工作8小時（例如9:00~17:00），這樣可以嗎？,1F52A51C58625A34,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=1F52A51C58625A34
2026-09-15 03:24,異動,檢視時間,2026-07-23,臺北市政府勞動局勞動教育文化科,如果申請人不符合本補助資格，是否還有其他政府相關補助可以協助減輕子女就學負擔？,1F56D4B1E485A5C1,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=1F56D4B1E485A5C1
2026-09-15 03:24,異動,檢視時間,2024-04-08,臺北市政府勞動局就業安全科,雇主要怎樣申請超過5日之產檢假、陪產檢及陪產假之薪資補助？,1F90CE22A22A693E,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=1F90CE22A22A693E
2026-09-15 03:24,異動,檢視時間,2024-03-01,臺北市政府勞動局就業安全科,勞工可以同時依性騷擾防治法第25條規定向行為人提出告訴嗎？,1F9FF78D55170150,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=1F9FF78D55170150
2026-09-15 03:24,異動,檢視時間,2026-07-23,臺北市政府勞動局勞動教育文化科,每學期均可申請臺北市失業勞工子女就學費用補助嗎？,1FE7F227FCBAF88D,https://www.gov.taipei/News_Content.aspx?n=EEC70A4186D4C828&sms=87415A8B9CE81B16&s=1FE7F227FCBAF88D
